Email,Phone,CreditScore,AgeGroup,FamilyBackground,Income,Comments,Intent
ndiaz@example.net,001-937-725-6197,359,18-25,Married,298607,want to buy soon,1
donald83@example.net,961.692.2729x6590,711,18-25,Married with Kids,358670,need home loan,0
zmorales@example.com,(985)926-9938,383,36-50,Single,899471,not interested,0
reginald43@example.com,+1-888-509-6184x342,754,18-25,Married with Kids,282454,urgent need to buy,1
jose27@example.org,(498)434-7862x80044,716,51+,Single,457057,want to buy soon,1
nlopez@example.net,951-985-2103,723,26-35,Single,919233,just browsing,0
nicholasayala@example.net,809-571-9676,745,18-25,Married,636360,job relocation,1
andersonamanda@example.org,001-208-384-9216x0246,730,51+,Married,371184,want to buy soon,1
youngalexis@example.org,558-249-7559x257,640,26-35,Single,628387,need home loan,0
odonnellfrancis@example.net,(746)242-9284x000,510,36-50,Single,306437,job relocation,1
paulbanks@example.net,(633)393-0182x3436,794,18-25,Single,331511,job relocation,1
leecynthia@example.net,+1-331-646-9419x544,756,26-35,Single,519588,need home loan,0
williamsluis@example.com,625.880.0149x978,546,51+,Married with Kids,388311,not interested,0
heidi36@example.com,341.354.1841x883,692,51+,Single,140097,need home loan,0
yjohnson@example.com,001-422-928-2718x7464,670,51+,Married with Kids,268958,job relocation,1
kimberlywilson@example.com,001-245-608-5722x347,806,36-50,Married,335215,urgent need to buy,1
sreynolds@example.net,850.704.6857,834,36-50,Married,355663,want to buy soon,1
bsanders@example.net,+1-655-905-6964x9340,438,51+,Married,881843,job relocation,1
ustout@example.org,001-274-944-2188x7836,566,36-50,Single,218267,need home loan,0
jondean@example.org,7022895285,572,18-25,Married,684274,just browsing,0
barnesalexandra@example.net,+1-994-615-8370x35622,516,18-25,Single,141624,not interested,0
varcher@example.com,+1-456-742-3501,339,18-25,Married,501789,need home loan,0
cameronshort@example.net,823-882-4930,489,51+,Married with Kids,190413,not interested,0
owhite@example.com,(389)832-2127x685,332,18-25,Married,305782,want to buy soon,1
williamsjason@example.net,+1-834-418-6626x2528,773,51+,Married with Kids,909460,need home loan,0
daniel63@example.net,963.461.4375,600,26-35,Single,294337,not interested,0
crystal70@example.org,001-936-463-6051x926,835,18-25,Married,124974,want to buy soon,1
amberramirez@example.net,+1-710-751-0562x7577,698,51+,Married,855251,not interested,0
kari33@example.org,214.441.0423x8690,422,51+,Married,869308,urgent need to buy,1
leslie36@example.net,(439)919-0047x04432,656,26-35,Single,751616,need home loan,0
evanlong@example.com,8973598199,437,26-35,Married with Kids,121647,job relocation,1
reesemolly@example.net,001-643-677-7413,307,18-25,Married,509279,job relocation,1
ugrant@example.net,360-273-9730x692,828,36-50,Married,744206,want to buy soon,1
victoriathomas@example.com,(327)303-4816x184,717,18-25,Married with Kids,851464,want to buy soon,1
keithbeard@example.com,+1-802-495-8373x1745,833,51+,Married,944221,urgent need to buy,1
austintran@example.com,787-732-3616x518,537,36-50,Single,739594,want to buy soon,1
uruiz@example.net,+1-541-420-6633x523,718,18-25,Single,910188,urgent need to buy,1
langrachel@example.org,7705022914,785,51+,Married with Kids,690461,job relocation,1
bowenderek@example.org,+1-391-483-2395x8972,404,51+,Married,667356,job relocation,1
brandonpalmer@example.net,+1-490-387-6672x41120,412,26-35,Married with Kids,857392,not interested,0
acollins@example.org,992-205-2395,444,26-35,Married,534617,not interested,0
nicholasburke@example.net,820-481-3815,300,51+,Single,303832,not interested,0
markcook@example.net,001-511-669-2995x8470,728,18-25,Married,864241,job relocation,1
kbrooks@example.com,001-511-687-4246x266,664,26-35,Single,249645,need home loan,0
ysmith@example.net,+1-702-860-3269x4000,643,36-50,Single,843260,just browsing,0
tpearson@example.com,411.814.9106x93676,447,51+,Married with Kids,889180,urgent need to buy,1
bishopcolton@example.net,+1-327-946-1335x64390,343,51+,Single,735509,urgent need to buy,1
chenry@example.org,(473)387-4636,762,36-50,Married with Kids,322061,urgent need to buy,1
watkinssteven@example.com,7424070191,748,51+,Married with Kids,427626,not interested,0
jonesmichael@example.net,688.956.7570x428,723,18-25,Married,363695,need home loan,0
istrickland@example.net,001-938-277-5155x54858,450,26-35,Single,439777,need home loan,0
hannah64@example.com,334.652.0137,318,36-50,Single,500567,urgent need to buy,1
kdonaldson@example.org,(288)818-4717x964,355,26-35,Single,426574,urgent need to buy,1
rebeccaharris@example.com,(952)993-7700x18011,568,36-50,Single,426063,need home loan,0
michelejimenez@example.net,349-267-7864x27470,655,51+,Married with Kids,292271,want to buy soon,1
xlindsey@example.net,(977)518-6709x299,776,51+,Single,377220,urgent need to buy,1
foxdonald@example.com,+1-565-776-2713x2106,832,18-25,Married,806846,job relocation,1
michaelbriggs@example.org,(216)920-2593x3280,830,36-50,Married with Kids,271332,need home loan,0
pittmancory@example.net,534.307.6855,524,18-25,Married,360033,just browsing,0
christinecook@example.org,418.300.5063,639,18-25,Married with Kids,839285,not interested,0
smithangel@example.net,+1-909-426-0585x742,604,51+,Single,459261,not interested,0
palexander@example.com,(549)636-3007x97732,627,51+,Married,560935,want to buy soon,1
erikapeters@example.org,001-671-253-1197x09760,570,18-25,Married with Kids,695241,not interested,0
kevin19@example.net,830-268-2011x87106,839,18-25,Single,746702,job relocation,1
katie87@example.net,6146199420,542,36-50,Married,540858,just browsing,0
william52@example.org,+1-207-505-7118x3540,479,18-25,Married,448873,want to buy soon,1
steven05@example.org,001-688-290-6800x618,382,36-50,Married with Kids,805473,need home loan,0
katie56@example.com,205-784-1756x0402,484,18-25,Single,996845,want to buy soon,1
rcarpenter@example.net,(648)277-7684,469,26-35,Married with Kids,432019,urgent need to buy,1
sandrawilliams@example.org,660-434-1757x54069,792,51+,Married,857621,need home loan,0
sullivanmelissa@example.com,+1-572-812-6045x3730,522,26-35,Married with Kids,968551,not interested,0
zhendricks@example.org,001-445-806-1960,441,51+,Single,261584,job relocation,1
rachelsherman@example.com,001-834-976-9083,568,51+,Married,996779,need home loan,0
ethanwhitehead@example.net,988-225-6173x01502,413,36-50,Married,152002,need home loan,0
harry05@example.com,(779)540-7946x926,408,51+,Married,551631,job relocation,1
zamorabrian@example.org,297-911-5712,847,18-25,Married with Kids,548757,job relocation,1
umontoya@example.org,850.675.1538x2642,839,18-25,Married with Kids,972056,urgent need to buy,1
xclark@example.com,001-607-329-4402x8045,721,26-35,Married with Kids,927432,need home loan,0
blakejacqueline@example.com,283-607-6494x0362,436,51+,Married,132582,urgent need to buy,1
reginald45@example.net,702-535-6411,442,26-35,Married with Kids,961033,want to buy soon,1
dixonalexandria@example.com,+1-298-794-3982,480,36-50,Married with Kids,981579,not interested,0
andersonjulia@example.com,489-697-0144x889,397,36-50,Single,843046,need home loan,0
karenthomas@example.net,(716)559-1971,688,26-35,Married,217170,urgent need to buy,1
mitchellolson@example.com,617-902-1776,501,26-35,Married,657584,just browsing,0
swest@example.net,8484557886,721,18-25,Single,111685,urgent need to buy,1
allenjenny@example.org,(892)767-5065x170,644,26-35,Single,702055,just browsing,0
rebeccaschneider@example.org,001-350-818-3725,776,18-25,Single,582675,just browsing,0
samanthabrown@example.org,658.279.4667,414,51+,Married with Kids,215479,need home loan,0
johnpena@example.org,+1-560-302-5206,721,26-35,Married with Kids,765667,need home loan,0
marc70@example.net,856-715-1329x5385,365,36-50,Married,265222,want to buy soon,1
qmcconnell@example.com,001-618-839-1399,571,18-25,Single,327826,not interested,0
nwong@example.com,418-660-2561x6384,593,51+,Single,822765,urgent need to buy,1
sgriffin@example.net,(355)535-5215,602,51+,Married with Kids,687421,want to buy soon,1
daviddorsey@example.org,355-960-8342,682,36-50,Single,899064,just browsing,0
angela20@example.net,241.697.8114,423,18-25,Married with Kids,998614,just browsing,0
elizabethcolon@example.net,705-673-6603,766,18-25,Married,579998,not interested,0
phelpserica@example.net,463-608-6415x9105,331,26-35,Married with Kids,826583,just browsing,0
clarence62@example.net,+1-531-432-8240,317,36-50,Married with Kids,687786,just browsing,0
istephens@example.com,523-808-5413,331,26-35,Married,107705,urgent need to buy,1
christinereyes@example.net,828.788.6470,309,51+,Single,927797,just browsing,0
agonzalez@example.com,778.676.2903,839,26-35,Single,729921,just browsing,0
isaiahkhan@example.com,+1-819-677-9759,652,26-35,Single,432067,need home loan,0
drakekimberly@example.net,001-421-929-0591,307,26-35,Single,170045,want to buy soon,1
jesse92@example.net,(206)854-7693,329,51+,Married,304659,just browsing,0
hstevenson@example.net,5852720733,739,36-50,Married with Kids,684379,want to buy soon,1
caseycarter@example.org,407-869-1060x8382,387,51+,Married with Kids,808293,just browsing,0
williamsian@example.net,901.495.2734x03069,329,51+,Single,884831,not interested,0
thomas97@example.org,214-624-8434x86155,337,51+,Married,363488,not interested,0
brittany07@example.net,(570)811-4273,828,36-50,Married with Kids,386749,job relocation,1
davidchan@example.org,(982)714-4844,337,36-50,Married,877603,urgent need to buy,1
ugonzalez@example.org,460.930.1563x326,542,18-25,Married with Kids,397457,need home loan,0
martinvictoria@example.net,(223)829-9503,613,26-35,Married,475836,want to buy soon,1
jeffreyparker@example.net,(793)617-8228x66183,839,36-50,Single,168453,urgent need to buy,1
guzmanjohn@example.org,(545)233-7347,439,26-35,Married with Kids,927946,not interested,0
salinasmichael@example.org,728-619-3152x10490,490,51+,Married with Kids,995121,want to buy soon,1
baileystephanie@example.org,(518)262-5232,817,26-35,Single,378497,not interested,0
soniahall@example.com,001-801-585-9540x10061,405,26-35,Married with Kids,796450,urgent need to buy,1
kathryn01@example.org,(486)401-7874,630,36-50,Married with Kids,172159,just browsing,0
jkennedy@example.com,+1-963-626-5630,680,51+,Married,252205,need home loan,0
monique05@example.com,680.431.8796x71348,596,18-25,Married,396907,not interested,0
laurataylor@example.com,772-646-5135x5000,492,26-35,Single,625731,want to buy soon,1
ybarrera@example.com,+1-478-238-3169,604,18-25,Married with Kids,841460,urgent need to buy,1
xcunningham@example.net,(258)425-7336x735,568,26-35,Married,111731,want to buy soon,1
catherinecarpenter@example.org,001-486-282-2089x0640,336,18-25,Married with Kids,202997,just browsing,0
kristy91@example.net,+1-955-540-3198x48402,419,18-25,Married with Kids,826932,just browsing,0
suzanne05@example.com,288.536.0389x51796,385,26-35,Married,542189,want to buy soon,1
megan04@example.net,(724)802-5470x750,608,51+,Single,174166,need home loan,0
griffinlance@example.net,(935)599-0041x894,320,26-35,Married,664547,need home loan,0
anthonywhite@example.com,360.513.4625,667,18-25,Married with Kids,898339,just browsing,0
rperez@example.org,461.883.0976,818,18-25,Married,453722,job relocation,1
ucummings@example.com,(528)822-3665x3504,537,36-50,Married,529447,job relocation,1
dhill@example.net,6246953076,300,36-50,Married,417192,need home loan,0
kevin52@example.net,(338)414-9903x0805,468,18-25,Married,944128,want to buy soon,1
boyerjessica@example.org,+1-212-854-0061,437,26-35,Married with Kids,571543,urgent need to buy,1
susanchavez@example.org,(671)481-6188x20550,343,36-50,Married with Kids,705801,not interested,0
john95@example.com,(676)995-8723,337,51+,Married with Kids,655231,not interested,0
lindsaycarr@example.com,001-413-300-6660x2514,366,51+,Single,412797,job relocation,1
garrett94@example.org,557-258-9149x59603,797,36-50,Married with Kids,489933,not interested,0
bankserik@example.com,488.408.8964x4154,773,18-25,Married with Kids,338656,want to buy soon,1
victoria37@example.net,7835669105,776,26-35,Married,326647,urgent need to buy,1
jenkinsvanessa@example.com,986.338.0991x963,822,18-25,Single,179498,need home loan,0
williamsmorgan@example.com,(347)781-9404x41311,703,51+,Married,308432,just browsing,0
kdavis@example.com,942-467-7792x4704,521,18-25,Married with Kids,253334,want to buy soon,1
jamesfisher@example.org,(469)594-0498x222,625,51+,Married with Kids,299009,urgent need to buy,1
nicoleking@example.org,980.480.1328,688,26-35,Single,253320,want to buy soon,1
alicia82@example.com,001-767-640-3841,461,18-25,Married,601890,urgent need to buy,1
kvega@example.com,429.341.0972x34301,358,26-35,Married,874243,job relocation,1
kphillips@example.org,3156341763,396,51+,Single,480210,want to buy soon,1
dking@example.org,309-821-6200,842,26-35,Married,796745,just browsing,0
pgreen@example.org,(383)539-4351x9953,314,26-35,Single,266143,urgent need to buy,1
okelley@example.net,(816)835-6548x800,789,18-25,Single,868906,want to buy soon,1
davidjackson@example.org,+1-953-566-6160,711,51+,Married with Kids,899820,urgent need to buy,1
macdonaldjoel@example.com,521.494.9872,661,36-50,Married with Kids,258184,need home loan,0
diazaustin@example.org,549-750-7714,824,26-35,Married,422371,want to buy soon,1
colonjamie@example.org,+1-426-970-6172,593,36-50,Single,301440,job relocation,1
epacheco@example.com,769.919.1616,409,36-50,Married,425344,job relocation,1
austinmcdonald@example.org,973-517-1570x3951,465,26-35,Married with Kids,163797,not interested,0
erika02@example.org,3444207101,524,18-25,Married,169912,job relocation,1
millerdavid@example.net,(854)563-1293x65491,814,18-25,Single,570153,not interested,0
donnafisher@example.net,(567)714-5397,349,51+,Married with Kids,497813,job relocation,1
jacobcolon@example.net,(270)584-1943x17373,748,51+,Single,227937,just browsing,0
ajones@example.com,618-976-9687x63279,490,51+,Married,313147,want to buy soon,1
derekharrell@example.org,+1-521-251-6700x7443,776,26-35,Single,744408,not interested,0
joshua02@example.net,(527)322-7205,826,36-50,Married with Kids,586282,just browsing,0
lauriebrowning@example.net,3756321703,622,36-50,Single,959136,just browsing,0
lindsey00@example.net,636-439-4493,711,26-35,Married with Kids,765026,not interested,0
hicksyolanda@example.org,7998909386,475,36-50,Married with Kids,581241,not interested,0
justin86@example.net,372.708.2615x0131,333,18-25,Single,682291,need home loan,0
eddiedavis@example.com,+1-201-928-5039x7014,612,51+,Married,440649,want to buy soon,1
ryan41@example.org,(933)989-7606,453,18-25,Married with Kids,291815,need home loan,0
danderson@example.net,480-327-3071,438,26-35,Married with Kids,208130,want to buy soon,1
ballen@example.com,+1-525-724-7982x21419,309,26-35,Married,246366,job relocation,1
georgejenna@example.net,8829239717,494,18-25,Married,573744,job relocation,1
roserobert@example.net,(256)457-5733,323,36-50,Married,210749,urgent need to buy,1
psanchez@example.com,001-721-654-9915x1059,595,26-35,Married with Kids,582783,need home loan,0
robertaharris@example.net,(480)204-9516x884,755,51+,Single,500682,not interested,0
bradley13@example.org,287.821.2413x74879,531,26-35,Single,607782,not interested,0
pamelaschwartz@example.org,+1-660-526-9480,367,51+,Married,925545,want to buy soon,1
danielle46@example.org,+1-760-742-5222x80727,643,26-35,Married with Kids,775912,job relocation,1
thomasthomas@example.org,577.568.8803x2146,409,51+,Single,927076,not interested,0
sclark@example.com,001-653-807-3092x539,404,26-35,Single,359490,need home loan,0
nicholas39@example.net,(864)516-8162x7859,843,36-50,Married with Kids,445685,not interested,0
jessica80@example.com,+1-942-489-7782x86789,807,36-50,Married with Kids,142657,just browsing,0
justinhall@example.net,001-448-721-4656,433,18-25,Married with Kids,247796,not interested,0
ashleypalmer@example.net,(395)834-7918,769,51+,Married with Kids,292107,urgent need to buy,1
juarezrodney@example.net,967-283-8174,365,51+,Married,373674,want to buy soon,1
karlwhitehead@example.net,001-702-849-5936x722,550,51+,Married,260535,job relocation,1
diazcraig@example.com,(757)904-9041x670,474,26-35,Single,881194,not interested,0
justinmarshall@example.com,+1-725-305-0495,331,18-25,Single,803321,job relocation,1
dwilliams@example.org,001-989-279-8440x43405,340,26-35,Single,898138,just browsing,0
brenda44@example.net,388-423-8407,431,26-35,Married,446483,not interested,0
suetorres@example.net,001-902-894-8824,571,51+,Single,602366,need home loan,0
amedina@example.org,(627)595-0806,383,18-25,Married,613938,job relocation,1
erikrice@example.org,374.929.7397,367,26-35,Single,774461,not interested,0
scottvictoria@example.org,706-941-5940x1359,578,51+,Married,264482,urgent need to buy,1
cassie30@example.net,001-937-314-2753x15958,815,51+,Married,419418,job relocation,1
stacyfields@example.net,2882390440,559,18-25,Single,641990,urgent need to buy,1
robinsonbrett@example.net,434-259-2387x410,405,18-25,Married,279994,urgent need to buy,1
ashley96@example.com,+1-348-256-1503,827,51+,Married,314296,want to buy soon,1
natalie78@example.org,478.364.2886,704,26-35,Single,884234,just browsing,0
wsuarez@example.net,(258)986-9783,581,51+,Single,644087,not interested,0
patty52@example.net,001-967-260-5312x8160,375,18-25,Married with Kids,667887,urgent need to buy,1
martinashley@example.net,432-215-1104,769,26-35,Single,145968,just browsing,0
warrenkari@example.net,997-752-6749x875,437,36-50,Single,990485,want to buy soon,1
sandersmaria@example.com,544.632.2815,620,26-35,Married,739131,job relocation,1
edwardskimberly@example.net,+1-419-513-9614x06769,558,36-50,Married,927961,job relocation,1
dhaynes@example.org,714-935-4658,839,18-25,Married,556672,not interested,0
donaldallen@example.org,543-513-8775x24981,727,26-35,Married with Kids,502477,not interested,0
holly05@example.net,(464)397-9005,326,18-25,Single,413066,urgent need to buy,1
patrick20@example.net,(667)983-0046x40739,453,36-50,Married,560095,urgent need to buy,1
jonathan39@example.net,(856)985-3236,309,36-50,Single,590121,job relocation,1
marissa56@example.com,001-507-767-2672x047,634,18-25,Married,410462,need home loan,0
michael67@example.org,001-268-484-4448,488,36-50,Married,713374,need home loan,0
udrake@example.com,776-536-2730x8799,807,26-35,Married,371642,urgent need to buy,1
cody54@example.org,302.866.0612x0455,341,26-35,Married with Kids,809729,job relocation,1
kimberlyconner@example.net,(734)249-7427x1860,493,18-25,Married,972203,urgent need to buy,1
cdonovan@example.com,5548251800,816,36-50,Single,804874,not interested,0
kimberly72@example.com,(201)875-3042,700,51+,Married with Kids,151643,want to buy soon,1
cookrobert@example.net,611.801.0854x20417,828,26-35,Married with Kids,583423,just browsing,0
richardmiles@example.org,983.944.6705x802,757,51+,Married,253279,not interested,0
emily87@example.net,(821)851-8272,798,18-25,Single,408697,need home loan,0
weavercharlotte@example.com,432-205-8629x83333,634,26-35,Single,955605,need home loan,0
aramsey@example.net,+1-717-829-2359x209,420,36-50,Married with Kids,636382,just browsing,0
wrightamy@example.org,886-826-9474x81960,370,36-50,Married with Kids,497142,urgent need to buy,1
timothypowers@example.org,737.947.3343x4859,388,51+,Married with Kids,468073,job relocation,1
donaldsonlaura@example.org,001-356-258-9635x2551,604,36-50,Married with Kids,932364,urgent need to buy,1
hawkinsmelissa@example.org,438.710.5254,658,36-50,Married with Kids,809431,job relocation,1
markwebster@example.com,2817330711,671,51+,Single,644379,need home loan,0
sandy90@example.com,+1-590-611-9271,794,26-35,Married with Kids,475148,job relocation,1
hgarcia@example.org,988-638-1795x66570,584,18-25,Married,852527,want to buy soon,1
emarshall@example.net,+1-664-671-2110x741,726,26-35,Single,750145,not interested,0
simmonsamy@example.com,778.640.0511x1503,642,51+,Married,271582,want to buy soon,1
aaronhoward@example.com,+1-359-963-2425x3497,763,18-25,Married,667869,job relocation,1
bobby59@example.org,525-865-7743x8604,638,51+,Married,103670,not interested,0
hmccoy@example.org,407.605.3770x70195,321,36-50,Married,463054,need home loan,0
buckleycaleb@example.org,(823)534-2235x5943,772,26-35,Single,424729,just browsing,0
zbrown@example.org,787-731-1006x611,797,26-35,Married,648815,job relocation,1
shannonrobles@example.net,853-900-3410x67986,347,51+,Single,922697,job relocation,1
tonirobinson@example.org,+1-381-331-8212x9538,359,26-35,Married,715457,want to buy soon,1
joshua70@example.net,001-815-571-3319x17350,430,36-50,Married,356026,urgent need to buy,1
hhebert@example.net,226.229.5400x615,646,26-35,Married,202967,urgent need to buy,1
murphygregory@example.com,872.545.7783,821,51+,Single,168034,just browsing,0
silvasamuel@example.net,(617)306-7389x0347,700,26-35,Single,928724,not interested,0
caleb90@example.com,+1-311-651-8436x261,648,26-35,Married with Kids,121489,not interested,0
fernandezluke@example.org,(665)259-8947x802,356,51+,Married,964370,need home loan,0
dennisjessica@example.net,+1-339-347-1473,685,18-25,Single,907346,not interested,0
ronald44@example.net,+1-650-866-5700x1723,477,51+,Married with Kids,967532,need home loan,0
johngreen@example.com,+1-632-308-1717x670,845,18-25,Married,853907,want to buy soon,1
laneerica@example.net,707.209.3075x001,757,26-35,Married with Kids,709674,urgent need to buy,1
fclay@example.com,(460)412-4302,567,51+,Single,688067,need home loan,0
andersonnathan@example.com,438-336-6028,574,51+,Married with Kids,612691,need home loan,0
pmartin@example.net,+1-486-737-4670x7638,383,18-25,Single,300289,job relocation,1
jeremy97@example.com,(367)936-2730,582,26-35,Single,344999,job relocation,1
nferguson@example.com,(892)402-9967x628,775,26-35,Single,750933,urgent need to buy,1
steveoneal@example.net,796-623-2108x9172,559,51+,Married,348917,want to buy soon,1
melissacontreras@example.com,(485)211-4131,333,51+,Single,288583,want to buy soon,1
millerjon@example.org,(241)584-0836x562,801,51+,Married with Kids,806250,urgent need to buy,1
hollandlinda@example.org,230-515-4907,498,51+,Married with Kids,555367,need home loan,0
brendasmith@example.net,6182886193,796,51+,Married with Kids,409516,need home loan,0
jessicaperry@example.net,001-562-990-7438,814,51+,Married with Kids,765196,want to buy soon,1
marypatterson@example.net,695.972.9657,366,26-35,Married with Kids,473498,want to buy soon,1
rachel50@example.com,+1-385-675-8634,743,36-50,Single,773587,urgent need to buy,1
michelle76@example.org,351-456-6793,587,18-25,Single,695065,urgent need to buy,1
tammywagner@example.net,+1-524-375-2168x68190,686,18-25,Married,169590,just browsing,0
tammyvargas@example.net,001-370-516-7149,648,51+,Single,507597,want to buy soon,1
amandapark@example.com,001-584-428-9361,381,51+,Married with Kids,694948,not interested,0
jasminelee@example.com,972.665.3646,841,18-25,Single,953395,urgent need to buy,1
richardrodriguez@example.org,+1-943-224-0001x33453,475,51+,Married,782696,need home loan,0
twest@example.org,516.354.0173x05615,342,51+,Married with Kids,758889,want to buy soon,1
karen80@example.net,001-936-403-5678x33804,613,36-50,Married,803794,urgent need to buy,1
rebeccageorge@example.com,001-998-760-3195x468,789,26-35,Married,131822,job relocation,1
millstodd@example.org,+1-992-350-6049x0811,631,51+,Married with Kids,879611,urgent need to buy,1
hannahfletcher@example.com,+1-407-889-0372,354,36-50,Married,404782,need home loan,0
clucas@example.com,6584567098,789,36-50,Single,259985,urgent need to buy,1
lori02@example.org,8738488194,757,26-35,Married,530887,need home loan,0
chelsea36@example.com,(294)460-1765x32617,686,18-25,Married with Kids,151091,want to buy soon,1
kbrooks@example.org,+1-889-203-5408x143,678,26-35,Single,214191,just browsing,0
lynchkelly@example.net,(957)995-9136,590,26-35,Single,811421,not interested,0
stephaniepierce@example.com,001-695-593-3888,799,51+,Married with Kids,678288,not interested,0
david02@example.org,934.261.7121x115,484,26-35,Married with Kids,376220,not interested,0
robbinscasey@example.org,(316)699-5680,821,36-50,Married,209721,not interested,0
josephbradley@example.net,619.558.9818,495,26-35,Married,180427,just browsing,0
yjones@example.org,(842)998-0070,728,36-50,Married,342836,job relocation,1
micheleweaver@example.org,+1-992-882-4938x838,721,18-25,Married with Kids,248561,just browsing,0
timothythomas@example.net,667.372.6550,642,36-50,Married,882392,need home loan,0
rileycassandra@example.org,790.398.4350x3065,470,36-50,Married,461058,need home loan,0
davidlane@example.org,001-755-456-3528,558,36-50,Single,278569,not interested,0
gina10@example.net,959.812.7958x06957,406,36-50,Married with Kids,409026,not interested,0
rebecca12@example.net,9014930434,488,26-35,Single,674265,need home loan,0
gwendolynbarrera@example.net,+1-501-375-5830x8107,494,26-35,Married,646789,not interested,0
michael19@example.org,222.498.1354x78031,715,36-50,Married,600320,need home loan,0
michael77@example.net,(616)599-4409,355,51+,Married with Kids,301224,urgent need to buy,1
vphillips@example.net,001-316-291-6951x00514,350,26-35,Married with Kids,322494,want to buy soon,1
maria61@example.com,404-307-9195x353,595,18-25,Married with Kids,536356,job relocation,1
haroldbailey@example.net,+1-396-592-9718x2236,787,18-25,Married with Kids,925593,job relocation,1
richardsonmichael@example.com,(762)523-4847x92210,370,18-25,Married,739698,need home loan,0
moranjose@example.org,001-805-803-1260x891,666,26-35,Single,931661,want to buy soon,1
keith58@example.com,001-307-841-0685x23042,604,36-50,Married with Kids,254970,job relocation,1
kelly57@example.net,(577)718-5099x365,578,26-35,Single,678543,just browsing,0
tcook@example.org,001-797-457-6920x4902,406,51+,Single,330930,need home loan,0
fcarr@example.com,362-356-0139,405,51+,Married,752528,job relocation,1
kimberly45@example.com,001-879-523-7935x4511,833,51+,Married with Kids,982751,need home loan,0
nmorrison@example.org,489.739.1461x056,737,18-25,Single,140308,want to buy soon,1
yolandaknight@example.net,495-765-7594,523,26-35,Married,226565,job relocation,1
jeangreen@example.org,699-364-5170x78335,661,36-50,Married with Kids,552913,not interested,0
brian26@example.com,(487)439-0534,757,26-35,Married with Kids,308033,urgent need to buy,1
tanya48@example.org,+1-908-750-9940x43374,828,26-35,Single,424399,job relocation,1
wtyler@example.net,(261)218-5670x161,717,36-50,Married,400605,need home loan,0
jaredmartin@example.net,395-710-7227x8928,675,51+,Married with Kids,271983,want to buy soon,1
tylerlee@example.net,486-780-8320,421,18-25,Married with Kids,404980,need home loan,0
timothy89@example.net,(509)909-1571x034,684,36-50,Single,822138,just browsing,0
rsanders@example.com,001-937-681-3367x2056,833,36-50,Married with Kids,225889,just browsing,0
wanderson@example.org,(799)557-3841,839,36-50,Married with Kids,421076,job relocation,1
kelly99@example.org,770.314.0283x4381,848,26-35,Married with Kids,897946,need home loan,0
ldelgado@example.net,(493)422-2521,807,18-25,Single,960329,just browsing,0
hstephens@example.com,(875)918-6947,829,51+,Married with Kids,219504,want to buy soon,1
raykevin@example.net,+1-488-305-8504x80275,575,26-35,Married,498961,just browsing,0
nathancooper@example.net,948.514.6662x054,779,26-35,Married with Kids,851336,need home loan,0
salasjames@example.com,646.278.6140,567,36-50,Married with Kids,571170,just browsing,0
daniel48@example.net,(954)270-4772,738,51+,Married with Kids,944234,just browsing,0
angela14@example.com,001-583-369-1285,331,51+,Single,101656,not interested,0
pacenicholas@example.net,(678)236-5409,834,18-25,Married with Kids,800140,urgent need to buy,1
christopher16@example.org,(627)756-7754x5281,703,36-50,Married,682948,need home loan,0
grahamtaylor@example.org,728-378-3291,581,18-25,Married with Kids,540685,just browsing,0
allenvalerie@example.net,001-497-480-9844x44289,439,51+,Married with Kids,109170,need home loan,0
karen98@example.org,792.909.8713,711,18-25,Married,588809,need home loan,0
reidtaylor@example.org,692-954-4736x751,798,36-50,Single,518145,urgent need to buy,1
ghenson@example.org,796.344.3997x58371,845,51+,Single,889283,not interested,0
uwells@example.org,(725)681-1001x13488,740,18-25,Married,940366,not interested,0
stacypatton@example.net,200.298.8343x44847,602,36-50,Married with Kids,251886,urgent need to buy,1
scottjones@example.net,(442)444-6874x2887,386,18-25,Single,252484,urgent need to buy,1
carterbenjamin@example.net,6746120768,489,51+,Single,625756,need home loan,0
stewartbeth@example.com,+1-690-263-3578,469,51+,Married with Kids,170442,want to buy soon,1
alison16@example.net,001-859-848-3820x71411,361,51+,Single,992299,job relocation,1
burtonjennifer@example.net,+1-939-305-8548x61163,395,18-25,Single,528560,just browsing,0
warnerdaniel@example.org,001-590-724-3269x91280,481,51+,Married with Kids,828515,urgent need to buy,1
alicia35@example.net,458.745.4177,441,36-50,Married with Kids,945763,just browsing,0
cherylpetersen@example.com,001-551-692-7254x7711,526,26-35,Married,808446,need home loan,0
ihoward@example.net,516-338-3456,452,26-35,Married,537218,urgent need to buy,1
pmejia@example.net,628.696.1493x91240,801,36-50,Married,610364,need home loan,0
stephanieskinner@example.org,537.819.2229,460,36-50,Married with Kids,492691,just browsing,0
kmoody@example.org,536-933-1462x5509,562,51+,Single,699119,not interested,0
michelebarber@example.com,442.780.6378x16651,580,18-25,Married with Kids,750206,need home loan,0
williammoreno@example.org,001-744-874-1772x7881,323,26-35,Married with Kids,725649,need home loan,0
patrickriley@example.com,+1-566-868-9309x931,487,26-35,Married,641624,not interested,0
davidedwards@example.net,(609)431-0471x5093,470,51+,Single,146305,need home loan,0
danielsjessica@example.org,001-665-452-3407,511,51+,Married,502302,not interested,0
patrickbrenda@example.org,394.621.0226x982,474,26-35,Married with Kids,534292,urgent need to buy,1
